"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000280","nuclear division",346,-0.790790007822915,-2.83672861939621,0.0175438596491228,0.0701841359773371,0.0413746831668406,958,"tags=37%, list=7%, signal=35%","10600/25936/56647/10459/11331/4292/9183/80198/3837/8899/51143/81929/7155/10419/348235/5501/7283/3192/10274/79598/79003/5889/675/54820/84930/84142/4603/440145/23636/55125/55706/57697/5902/7517/1104/54908/23310/9126/8243/63979/27338/27085/348654/55055/1164/3619/64105/84722/9735/994/29781/90417/9918/146956/80010/10635/25788/9700/113130/3835/9319/29893/83990/5888/79866/9493/54892/29127/220134/9928/9585/81930/83903/983/11130/6790/26271/2491/9133/4085/11065/81620/9055/9134/10051/29128/22974/146909/891/3832/9232/147841/2177/259266/56992/699/701/2175/157313/332/221150/995/151648/1063/7272/54443/7153/10615/55143/8438/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0098813","nuclear chromosome segregation",271,-0.820984100280229,-2.83497004053438,0.0166666666666667,0.0701841359773371,0.0413746831668406,994,"tags=42%, list=8%, signal=40%","6597/29117/25936/56647/6602/10459/4292/996/9183/3837/55193/8899/51143/55920/81929/7155/6599/348235/5501/7283/3192/10274/79598/79003/6598/84142/440145/23636/55125/55706/86/7517/1104/79980/54908/23310/9126/8193/8243/55166/348654/55055/1894/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/29893/83990/9493/54892/29127/220134/9928/81930/83903/983/11130/6790/26271/2491/9133/4085/11065/81620/9055/9134/10051/29128/22974/81610/990/146909/891/3832/9232/10460/147841/2177/259266/56992/699/701/332/221150/151648/1063/7272/7153/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0048285","organelle fission",389,-0.768926099137721,-2.79723434009101,0.0163934426229508,0.0701841359773371,0.0413746831668406,958,"tags=33%, list=7%, signal=32%","10600/25936/56647/10459/11331/4292/9183/80198/3837/8899/51143/81929/7155/10419/348235/5501/7283/3192/10274/79598/79003/5889/675/54820/84930/113115/84142/4603/440145/23636/55125/55706/57697/5902/7517/1104/80179/54908/23310/9126/8243/63979/27338/27085/348654/55055/1164/3619/64105/84722/9735/994/29781/90417/9918/146956/80010/10635/25788/9700/113130/3835/9319/29893/83990/5888/79866/9493/54892/29127/220134/9928/9585/81930/83903/983/11130/6790/26271/2491/9133/4085/11065/81620/9055/9134/10051/29128/22974/146909/891/3832/9232/147841/2177/259266/56992/699/701/2175/157313/332/221150/995/151648/1063/7272/54443/7153/10615/55143/8438/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0140014","mitotic nuclear division",247,-0.813202054005778,-2.78233117988264,0.0196078431372549,0.0701841359773371,0.0413746831668406,1322,"tags=47%, list=10%, signal=43%","9088/7175/8467/4781/729440/10735/126731/9184/1027/55755/8815/10726/6152/64793/10592/80346/10600/25936/56647/10459/11331/9183/3837/8899/51143/81929/10419/348235/5501/7283/3192/10274/79598/79003/54820/84142/440145/23636/55125/5902/7517/1104/54908/23310/9126/8243/27338/27085/348654/55055/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/79866/9493/54892/29127/220134/9928/9585/81930/83903/983/11130/6790/26271/2491/4085/11065/81620/9055/10051/29128/22974/146909/891/3832/147841/56992/699/701/157313/332/221150/995/1063/7272/54443/10615/55143/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0007059","chromosome segregation",374,-0.791962874827115,-2.77393003823841,0.0175438596491228,0.0701841359773371,0.0413746831668406,1494,"tags=47%, list=11%, signal=43%","54984/23421/26065/201254/29901/6188/79643/27229/11243/283489/8086/54801/7175/8467/348995/729440/10735/126731/9184/7156/51776/54930/55755/10426/6603/10726/28989/64793/55142/10592/6597/29117/25936/56647/6602/10459/4292/996/9183/3837/55193/8899/51143/55920/81929/79677/7155/56852/6599/23137/10664/348235/5501/7283/3192/91687/10274/79598/79003/6598/203068/54820/292/84142/440145/23636/55125/163786/401541/55706/86/7517/1104/54069/23354/79980/54908/23310/9126/8193/81624/79172/8243/115106/55166/79441/55732/55835/348654/55055/1894/55839/3619/64105/84722/9735/29781/90417/9918/93323/64946/6491/9700/113130/3835/9319/672/29893/83990/9493/54892/29127/220134/55355/9928/81930/83903/983/11130/151246/6790/26271/2491/9133/4085/29899/11065/81620/9055/9134/10051/29128/22974/81610/990/146909/891/3832/9232/10460/147841/2177/259266/56992/699/79682/701/387103/157313/332/221150/151648/157570/1063/7272/7153/10615/55143/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0000819","sister chromatid segregation",216,-0.828094553729033,-2.76443047721893,0.0178571428571429,0.0701841359773371,0.0413746831668406,994,"tags=45%, list=8%, signal=43%","6597/29117/25936/56647/6602/10459/996/9183/3837/55193/8899/51143/81929/7155/6599/348235/5501/7283/3192/10274/79598/79003/6598/84142/440145/23636/55125/86/7517/1104/54908/23310/9126/8193/8243/348654/55055/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/9493/54892/29127/220134/9928/81930/83903/983/11130/26271/2491/4085/11065/81620/9055/10051/29128/22974/990/146909/891/3832/10460/147841/56992/699/701/332/221150/1063/7272/7153/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0000070","mitotic sister chromatid segregation",178,-0.83882903767666,-2.76058169933814,0.0192307692307692,0.0701841359773371,0.0413746831668406,659,"tags=48%, list=5%, signal=46%","25936/56647/10459/9183/3837/8899/51143/81929/348235/5501/7283/3192/10274/79598/79003/84142/440145/23636/55125/7517/1104/54908/23310/9126/8243/348654/55055/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/9493/54892/29127/220134/9928/81930/83903/983/11130/26271/2491/4085/11065/81620/9055/10051/29128/22974/146909/891/3832/147841/56992/699/701/332/221150/1063/7272/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0051276","chromosome organization",474,-0.776912352924181,-2.7470177944184,0.0181818181818182,0.0701841359773371,0.0413746831668406,1522,"tags=47%, list=12%, signal=43%","5925/8091/3326/54984/23421/10728/26065/201254/7203/9555/7486/79643/5591/283489/8086/23244/8480/328/7175/8467/729440/10735/126731/9184/7156/54552/51776/25913/10694/55755/8815/10574/6603/6419/10726/7994/10592/92345/10910/6597/11284/29117/55719/25936/5528/56647/6602/10459/51377/11331/4292/996/9183/22948/55183/3837/55193/8899/51143/10445/3320/81929/79677/2547/7155/84250/10575/3183/8607/6117/6599/79075/23137/10664/908/79892/7520/1736/348235/5501/9631/7283/3192/10274/79598/10856/23347/5499/6119/79003/8520/6598/5889/54433/6950/65057/675/4436/5394/10576/4216/84142/55135/440145/23636/11073/55125/23047/401541/55706/86/54780/167227/7517/57122/84444/1104/54069/64858/54908/23310/7515/9126/3021/8193/142/3181/79172/8243/3178/5111/348654/55055/55839/3184/3619/64105/84722/3146/9401/9735/1663/1017/29781/90417/9918/2237/64946/3149/9700/113130/1763/3835/9319/4678/29893/1058/83990/5888/9493/54892/29127/220134/55355/9928/81930/83903/983/11130/151246/26271/57650/2491/4085/11065/81620/9055/9134/10051/29128/22974/990/146909/641/891/3832/9232/10460/147841/2177/56992/699/701/387103/332/3148/221150/151648/157570/1063/7272/7153/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9156/9212/991"
"GO:0051983","regulation of chromosome segregation",126,-0.857688797669211,-2.74587432229758,0.0172413793103448,0.0701841359773371,0.0413746831668406,1035,"tags=51%, list=8%, signal=47%","10592/6597/29117/6602/10459/996/9183/55193/8899/51143/55920/79677/56852/6599/23137/3192/6598/86/7517/54908/23310/8193/348654/55055/3619/9735/29781/9918/9700/9319/54892/220134/83903/983/11130/26271/4085/11065/10051/990/891/10460/147841/699/701/157313/332/221150/1063/7272/55143/5347/4288/23397/11004/1062/10403/57405/9787/64151/57082/83540/9212/991"
"GO:0006260","DNA replication",255,-0.78915945853124,-2.74029240972055,0.0161290322580645,0.0701841359773371,0.0413746831668406,983,"tags=42%, list=7%, signal=40%","11284/374393/4999/83743/51377/5763/80198/10445/57695/11124/1660/79596/8607/201973/6117/79075/79892/2736/23649/11177/25842/11198/10856/6119/675/54107/5931/54962/91607/11073/10714/10293/64710/57697/86/6418/55159/9126/7465/4796/142/90381/80174/5982/6749/4175/5111/348654/63922/6240/29980/5985/64785/5426/9401/1663/1017/5422/23594/2237/4172/146956/80010/11169/253714/84515/10036/3978/8317/4173/5983/144455/9837/580/1763/5424/4171/9768/4678/672/10926/8914/5888/993/8208/5984/983/4174/7083/4176/26271/4998/51053/81620/9134/51514/990/641/10721/55388/8318/5427/157570/890/79733/79915/9156"
